Resolution,InstLat(s)
16,0.019915
16,0.016989
16,0.016701
16,0.016661
16,0.017059
16,0.016564
16,0.016728
16,0.016849
16,0.016196
16,0.017950
16,0.016398
16,0.016601
16,0.016683
16,0.015980
16,0.015995
16,0.016006
16,0.015608
16,0.015846
16,0.016385
16,0.016617
16,0.016197
16,0.015701
16,0.015414
16,0.015291
16,0.015903
16,0.015959
16,0.015654
16,0.015852
16,0.015129
16,0.015784
16,0.015632
16,0.015786
16,0.015869
16,0.015704
16,0.015984
16,0.015466
16,0.015225
16,0.015161
16,0.015256
16,0.015537
16,0.015058
16,0.015659
16,0.015873
16,0.015194
16,0.015646
16,0.015105
16,0.015032
16,0.015702
16,0.015540
16,0.015985
16,0.015020
16,0.014993
16,0.018870
16,0.015591
16,0.014974
16,0.014495
16,0.014811
16,0.015084
16,0.015319
16,0.015562
16,0.014906
16,0.014971
16,0.015095
16,0.015693
16,0.015266
16,0.015504
16,0.014978
16,0.015593
16,0.015490
16,0.015058
16,0.015564
16,0.015194
16,0.015002
16,0.015496
16,0.015491
16,0.015267
16,0.015346
16,0.015480
16,0.015425
16,0.015318
16,0.015007
16,0.015363
16,0.014871
16,0.015061
16,0.015335
16,0.015970
16,0.015413
16,0.014894
16,0.015593
16,0.014975
16,0.015977
16,0.014763
16,0.015454
16,0.015534
16,0.014870
16,0.019572
16,0.015050
16,0.015096
16,0.015593
8,0.005883
8,0.005058
8,0.005126
8,0.004585
8,0.005060
8,0.004497
8,0.003889
8,0.003700
8,0.003654
8,0.003664
8,0.003461
8,0.003341
8,0.003823
8,0.003672
8,0.003910
8,0.003570
8,0.003376
8,0.003877
8,0.003617
8,0.003552
8,0.003789
8,0.003089
8,0.003498
8,0.003403
8,0.003070
8,0.003405
8,0.003196
8,0.003563
8,0.003341
8,0.002788
8,0.003174
8,0.003047
8,0.003255
8,0.003233
8,0.002766
8,0.003144
8,0.003061
8,0.003299
8,0.003036
8,0.002754
8,0.003262
8,0.003181
8,0.003203
8,0.002922
8,0.002710
8,0.003187
8,0.002978
8,0.003606
8,0.003055
8,0.002698
8,0.003077
8,0.003067
8,0.003057
8,0.002854
8,0.002600
8,0.003199
8,0.003020
8,0.003113
8,0.002989
8,0.002612
8,0.003085
8,0.002978
8,0.003029
8,0.002781
8,0.002842
8,0.002948
8,0.003003
8,0.002932
8,0.002775
8,0.002752
8,0.003021
8,0.002966
8,0.002974
8,0.002714
8,0.002578
8,0.002972
8,0.003050
8,0.003042
8,0.002776
8,0.002568
8,0.003025
8,0.002965
8,0.002951
8,0.002820
8,0.002586
8,0.003069
8,0.002850
8,0.002827
8,0.004429
8,0.002625
8,0.003140
8,0.002920
8,0.002896
8,0.002650
8,0.002587
8,0.002906
8,0.002845
8,0.002773
8,0.002642
4,0.002573
4,0.002525
4,0.002666
4,0.002707
4,0.002617
4,0.002358
4,0.002510
4,0.002114
4,0.002189
4,0.002307
4,0.002004
4,0.001911
4,0.001947
4,0.002348
4,0.002652
4,0.001840
4,0.001739
4,0.002253
4,0.001863
4,0.001710
4,0.001686
4,0.001764
4,0.002120
4,0.001966
4,0.001593
4,0.001725
4,0.001516
4,0.001381
4,0.001539
4,0.001464
4,0.001856
4,0.001415
4,0.001363
4,0.001456
4,0.001420
4,0.001446
4,0.001412
4,0.001423
4,0.001361
4,0.001293
4,0.001368
4,0.001293
4,0.001507
4,0.001319
4,0.001351
4,0.001316
4,0.001285
4,0.001320
4,0.001380
4,0.001273
4,0.001251
4,0.001255
4,0.001273
4,0.001313
4,0.001132
4,0.001179
4,0.001270
4,0.001319
4,0.001358
4,0.001303
4,0.001252
4,0.001171
4,0.001206
4,0.001463
4,0.001288
4,0.001195
4,0.001155
4,0.001229
4,0.001281
4,0.001116
4,0.001218
4,0.001178
4,0.001287
4,0.001306
4,0.001280
4,0.001137
4,0.001206
4,0.001240
4,0.001276
4,0.001253
4,0.001140
4,0.001149
4,0.001320
4,0.001359
4,0.001122
4,0.001034
4,0.001112
4,0.001176
4,0.001211
4,0.001159
4,0.001042
4,0.001107
4,0.001183
4,0.001201
4,0.001106
4,0.001214
4,0.001115
4,0.001255
4,0.001172
32,0.162496
32,0.149795
32,0.147963
32,0.147058
32,0.146053
32,0.148584
32,0.146935
32,0.146745
32,0.148427
32,0.146012
32,0.146086
32,0.147601
32,0.145802
32,0.146417
32,0.146434
32,0.146398
32,0.145957
32,0.145999
32,0.146359
32,0.146052
32,0.146376
32,0.145710
32,0.145898
32,0.145707
32,0.146255
32,0.146728
32,0.145541
32,0.144981
32,0.151394
32,0.146049
32,0.145942
32,0.146517
32,0.144952
32,0.145821
32,0.145635
32,0.146357
32,0.144866
32,0.149106
32,0.145402
32,0.145127
32,0.149545
32,0.145997
32,0.144872
32,0.148863
32,0.145214
32,0.145772
32,0.149147
32,0.144625
32,0.145532
32,0.147755
32,0.145995
32,0.145874
32,0.144648
32,0.146169
32,0.146546
32,0.145291
32,0.145082
32,0.144744
32,0.144816
32,0.148905
32,0.145285
32,0.146028
32,0.145396
32,0.146690
32,0.145384
32,0.152982
32,0.145897
32,0.145393
32,0.145105
32,0.146642
32,0.148812
32,0.144272
32,0.149624
32,0.145906
32,0.146062
32,0.146435
32,0.145397
32,0.144697
32,0.147572
32,0.145937
32,0.146112
32,0.145104
32,0.145502
32,0.145384
32,0.145160
32,0.145558
32,0.144856
32,0.146114
32,0.144614
32,0.145678
32,0.147127
32,0.147062
32,0.144735
32,0.145183
32,0.148786
32,0.145654
32,0.144753
32,0.145222
32,0.144158
32,0.144951
32,0.165751
32,0.148315
32,0.147561
32,0.152371
32,0.145956
32,0.146877
32,0.164063
32,0.148242
32,0.146055
32,0.145678
32,0.146528
32,0.145523
32,0.145623
32,0.146022
32,0.146628
32,0.145902
32,0.146054
32,0.145391
32,0.144898
32,0.145975
32,0.145815
32,0.146439
32,0.145851
32,0.146994
32,0.144642
32,0.144892
32,0.147357
32,0.146079
32,0.148886
32,0.147100
32,0.144090
32,0.144876
32,0.145293
32,0.145903
32,0.145320
32,0.144689
32,0.144719
32,0.145234
32,0.145665
32,0.145640
32,0.146378
32,0.145494
32,0.145168
32,0.145293
32,0.144953
32,0.145781
32,0.144745
32,0.146558
32,0.145273
32,0.144538
32,0.145523
32,0.145684
32,0.145197
32,0.145106
32,0.145927
32,0.144512
32,0.145579
32,0.145455
32,0.145217
32,0.145903
32,0.146150
32,0.152077
32,0.145155
32,0.145387
32,0.144808
32,0.144351
32,0.144981
32,0.146674
32,0.145404
32,0.144693
32,0.145796
32,0.146599
32,0.145167
32,0.145385
32,0.146321
32,0.145173
32,0.144503
32,0.144817
32,0.145448
32,0.144881
32,0.147577
32,0.151407
32,0.145835
32,0.145420
32,0.145193
32,0.145265
32,0.146410
32,0.147275
32,0.144785
32,0.145971
32,0.144964
32,0.145879
32,0.144141
32,0.143811
32,0.145012
32,0.145180
32,0.144726
32,0.144589
32,0.144939
32,0.145020
16,0.026805
16,0.019947
16,0.017133
16,0.017129
16,0.017013
16,0.016542
16,0.017197
16,0.016441
16,0.016528
16,0.016187
16,0.016652
16,0.016854
16,0.016022
16,0.016031
16,0.015810
16,0.016254
16,0.015912
16,0.015864
16,0.015625
16,0.015742
16,0.015498
16,0.015717
16,0.015431
16,0.015252
16,0.015735
16,0.015028
16,0.015988
16,0.015351
16,0.015313
16,0.015174
16,0.015221
16,0.015667
16,0.015659
16,0.015680
16,0.015605
16,0.015768
16,0.015584
16,0.016052
16,0.015614
16,0.015491
16,0.015199
16,0.015374
16,0.015594
16,0.015511
16,0.014866
16,0.015521
16,0.015374
16,0.015100
16,0.015583
16,0.015464
16,0.015702
16,0.015511
16,0.015478
16,0.015542
16,0.014823
16,0.014963
16,0.015292
16,0.015504
16,0.015190
16,0.014965
16,0.015270
16,0.014794
16,0.014858
16,0.016200
16,0.014986
16,0.017934
16,0.015153
16,0.015124
16,0.014792
16,0.014964
16,0.014893
16,0.014753
16,0.018327
16,0.014800
16,0.015511
16,0.015531
16,0.014988
16,0.014835
16,0.015428
16,0.015731
16,0.015329
16,0.014912
16,0.014887
16,0.015518
16,0.015251
16,0.015286
16,0.014689
16,0.015286
16,0.014861
16,0.014904
16,0.014835
16,0.014612
16,0.016126
16,0.015432
16,0.015361
16,0.015218
16,0.014493
16,0.015452
16,0.015162
16,0.014707
16,0.014771
16,0.015092
16,0.015271
16,0.015454
16,0.015437
16,0.014884
16,0.015152
16,0.015364
16,0.015975
16,0.014937
16,0.015425
16,0.015266
16,0.014793
16,0.015389
16,0.020346
16,0.015596
16,0.015317
16,0.015455
16,0.015342
16,0.014894
16,0.014756
16,0.014984
16,0.015354
16,0.015418
16,0.015414
16,0.015314
16,0.014773
16,0.014833
16,0.014690
16,0.014771
16,0.014764
16,0.015245
16,0.015408
16,0.015310
16,0.014883
16,0.015348
16,0.015197
16,0.015362
16,0.014965
16,0.014903
16,0.014807
16,0.015190
16,0.015370
16,0.015393
16,0.014751
16,0.014802
16,0.015182
16,0.015102
16,0.015175
16,0.015267
16,0.014714
16,0.014782
16,0.015720
16,0.014849
16,0.014883
16,0.014850
16,0.014610
16,0.015281
16,0.014922
16,0.015197
16,0.014744
16,0.015112
16,0.015446
16,0.014826
16,0.015270
16,0.015282
16,0.015177
16,0.015345
16,0.015212
16,0.015066
16,0.015222
16,0.014950
16,0.015349
16,0.015257
16,0.014691
16,0.015576
16,0.015157
16,0.014824
16,0.014852
16,0.015188
16,0.014756
16,0.015217
16,0.015453
16,0.014748
16,0.015180
16,0.015270
16,0.014593
16,0.015250
16,0.014889
16,0.014801
16,0.015423
16,0.014666
16,0.014799
16,0.015265
16,0.015253
16,0.014810
16,0.015207
16,0.015330
16,0.015289
16,0.014561
16,0.014548
8,0.009050
8,0.006298
8,0.005033
8,0.004963
8,0.004578
8,0.004828
8,0.004962
8,0.003983
8,0.003779
8,0.004328
8,0.003655
8,0.003697
8,0.003868
8,0.003863
8,0.003768
8,0.003547
8,0.003781
8,0.003606
8,0.003532
8,0.003465
8,0.003481
8,0.003718
8,0.003454
8,0.003378
8,0.003311
8,0.003320
8,0.003553
8,0.003385
8,0.003427
8,0.003352
8,0.003462
8,0.003379
8,0.003284
8,0.003181
8,0.003212
8,0.003178
8,0.003269
8,0.003291
8,0.003222
8,0.003191
8,0.003133
8,0.003308
8,0.003410
8,0.003226
8,0.003272
8,0.003133
8,0.003236
8,0.003128
8,0.003111
8,0.003118
8,0.003009
8,0.003081
8,0.003100
8,0.002943
8,0.002968
8,0.002973
8,0.003062
8,0.003126
8,0.003000
8,0.002962
8,0.002964
8,0.003117
8,0.003085
8,0.003020
8,0.002944
8,0.002851
8,0.003059
8,0.003010
8,0.003098
8,0.002926
8,0.002856
8,0.002882
8,0.002908
8,0.002903
8,0.002877
8,0.002830
8,0.002856
8,0.002998
8,0.002984
8,0.002949
8,0.002818
8,0.002893
8,0.002944
8,0.003047
8,0.003072
8,0.002849
8,0.002617
8,0.002907
8,0.002867
8,0.002837
8,0.003092
8,0.002629
8,0.002808
8,0.002865
8,0.002830
8,0.002752
8,0.002618
8,0.002885
8,0.002754
8,0.002749
8,0.002792
8,0.002741
8,0.002804
8,0.002695
8,0.002764
8,0.002826
8,0.002686
8,0.002821
8,0.002821
8,0.002784
8,0.002788
8,0.002730
8,0.002818
8,0.002923
8,0.002849
8,0.002751
8,0.002821
8,0.002765
8,0.002824
8,0.002787
8,0.002770
8,0.002903
8,0.002766
8,0.002731
8,0.002767
8,0.002776
8,0.002556
8,0.003010
8,0.002815
8,0.002768
8,0.002735
8,0.002592
8,0.002729
8,0.002757
8,0.002801
8,0.002786
8,0.002601
8,0.002828
8,0.002862
8,0.002831
8,0.002785
8,0.002640
8,0.002780
8,0.002878
8,0.002801
8,0.002770
8,0.002666
8,0.002783
8,0.002892
8,0.002896
8,0.002768
8,0.002611
8,0.002998
8,0.002812
8,0.002873
8,0.002906
8,0.002658
8,0.002790
8,0.002786
8,0.002796
8,0.002738
8,0.002617
8,0.002804
8,0.002803
8,0.002735
8,0.002703
8,0.002543
8,0.002695
8,0.002753
8,0.002739
8,0.002675
8,0.002601
8,0.002727
8,0.002863
8,0.002794
8,0.002722
8,0.002582
8,0.002703
8,0.002743
8,0.002780
8,0.002753
8,0.002569
8,0.002673
8,0.002766
8,0.002796
8,0.002779
8,0.002525
8,0.002707
8,0.002791
8,0.002774
8,0.002902
8,0.002663
8,0.002725
8,0.002781
8,0.002795
8,0.002820
8,0.002605
8,0.002824
8,0.002591
8,0.002741
8,0.002768
4,0.003809
4,0.002679
4,0.002663
4,0.002755
4,0.002217
4,0.002112
4,0.001981
4,0.002973
4,0.001994
4,0.002117
4,0.002040
4,0.001832
4,0.001919
4,0.001561
4,0.002111
4,0.001864
4,0.001898
4,0.001955
4,0.001672
4,0.001657
4,0.001644
4,0.001509
4,0.001755
4,0.001688
4,0.001668
4,0.001401
4,0.002203
4,0.001592
4,0.001295
4,0.001769
4,0.001283
4,0.001837
4,0.001469
4,0.001337
4,0.001354
4,0.001251
4,0.001296
4,0.001566
4,0.001389
4,0.001276
4,0.001309
4,0.001229
4,0.001381
4,0.001565
4,0.001269
4,0.001178
4,0.001296
4,0.001335
4,0.001286
4,0.001246
4,0.001223
4,0.001125
4,0.001232
4,0.001247
4,0.001213
4,0.001250
4,0.001081
4,0.001388
4,0.001398
4,0.001268
4,0.002108
4,0.001013
4,0.001199
4,0.001206
4,0.001190
4,0.001157
4,0.001168
4,0.001174
4,0.001110
4,0.001039
4,0.001165
4,0.001028
4,0.001194
4,0.001083
4,0.001008
4,0.001085
4,0.001036
4,0.001185
4,0.001094
4,0.001166
4,0.001094
4,0.000988
4,0.001063
4,0.001173
4,0.001290
4,0.001038
4,0.001017
4,0.001176
4,0.001014
4,0.001072
4,0.001249
4,0.000908
4,0.001121
4,0.001038
4,0.001070
4,0.001087
4,0.000961
4,0.001053
4,0.000991
4,0.001127
4,0.001222
4,0.000889
4,0.001123
4,0.000959
4,0.001127
4,0.001099
4,0.000864
4,0.001059
4,0.001026
4,0.001033
4,0.001060
4,0.000918
4,0.000998
4,0.001055
4,0.001022
4,0.001074
4,0.000899
4,0.001001
4,0.001035
4,0.001048
4,0.001144
4,0.001357
4,0.000836
4,0.000883
4,0.001062
4,0.001081
4,0.000956
4,0.001086
4,0.001133
4,0.001060
4,0.000909
4,0.000687
4,0.000969
4,0.001018
4,0.001072
4,0.000845
4,0.000921
4,0.000922
4,0.000955
4,0.001096
4,0.000984
4,0.000860
4,0.000989
4,0.001009
4,0.001027
4,0.000997
4,0.000882
4,0.001047
4,0.001197
4,0.001082
4,0.001067
4,0.001146
4,0.000960
4,0.000974
4,0.001096
4,0.001178
4,0.000929
4,0.001072
4,0.001050
4,0.001091
4,0.000971
4,0.000849
4,0.000995
4,0.001045
4,0.001041
4,0.000972
4,0.000845
4,0.001005
4,0.001012
4,0.001005
4,0.000953
4,0.001040
4,0.001073
4,0.001014
4,0.001002
4,0.000965
4,0.001021
4,0.000977
4,0.000982
4,0.001146
4,0.000941
4,0.000836
4,0.001012
4,0.001036
4,0.001026
4,0.000981
4,0.000848
4,0.001036
4,0.001057
4,0.001015
4,0.000985
4,0.000894
4,0.001078
4,0.001022
4,0.001039
4,0.001015
4,0.000886
4,0.001075
4,0.001037
4,0.001007
4,0.000977
